id,name,full_address,address,city,state,zip,images,units,stories,year_built,building_type,neighborhood,amenities,date,unit,price,beds,baths,sq_feet,common_charges,monthly_taxes,maintenance,agent_company,agent_phone,unit_images,unit_description
7,50 West Street,"50 West Street, New York, NY, 10006",50 West Street,New York,NY,10006,7/247132917.jpg|7/247132926.jpg|7/247146973.jpg|7/247146989.jpg|7/79042114.jpg|7/247146993.jpg|7/247132909.jpg|7/163978597.jpg|7/247132913.jpg|7/247132889.jpg|7/163978584.jpg|7/247146977.jpg|7/79041849.jpg|7/79041892.jpg|7/247132893.jpg|7/247132897.jpg|7/247132901.jpg|7/247132905.jpg|7/79041852.jpg|7/247146961.jpg|7/247146953.jpg|7/247146969.jpg|7/247146957.jpg|7/247146965.jpg|7/247146945.jpg|7/247146985.jpg|7/79041875.jpg|7/79041915.jpg|7/79041930.jpg|7/79041942.jpg|7/247146949.jpg|7/247146941.jpg|7/79041902.jpg|7/247146937.jpg,191,64,2016,Condo,Financial District,Bike Room|Children's Playroom|Concierge|Gym|Laundry in Building|Live-in Super|Media Room|Package Room|Swimming Pool|Storage Available|Roof Deck|NYC Storm Zone 1,9/15/2017,44B,4010000,2,2.5,1513,1929,2152,NULL,50 West Sales Gallery,(212) 766-5050,7/44B/282405332.jpg|7/44B/282405387.jpg|7/44B/282405359.jpg|7/44B/282405336.jpg|7/44B/282405457.jpg|7/44B/282405442.jpg|7/44B/282405418.jpg|7/44B/282405401.jpg|7/44B/282405371.jpg|7/44B/282405348.jpg|7/44B/282405437.jpg|7/44B/282405416.jpg|7/44B/282405393.jpg|7/44B/282405358.jpg|7/44B/282405360.jpg|7/44B/282405361.jpg|7/44B/282405461.jpg|7/44B/282405449.jpg|7/44B/282405430.jpg|7/44B/282405409.jpg|7/44B/282405380.jpg,"Immediate Occupancy.<br><br>This gorgeous split two-bedroom, two-and-a-half-bath corner home features dazzling panoramic views of the city and New York Harbor. <br><br>The open kitchen features custom stained walnut cabinetry, granite countertops and a waterfall island. First-in-class appliances from Miele and Sub-Zero include two wall mounted convection ovens, gas cooktop, refrigerator, freezer, wine refrigerator, dishwasher and a range hood that vents directly to the outside. The en-suite five fixture master bath features a floating, back-lit marble vanity, radiant floor heating, Hansgrohe polished chrome fixtures, an electronic Toto toilet with built-in bidet, a stall shower and a separate deep soaking tub.<br>50 West, a 64-story residential tower located in the center of the New Downtown, features unparalleled views of the New York Harbor, the Hudson and East Rivers, the Statue of Liberty, and Ellis Island. Internationally-acclaimed architect Helmut Jahn has designed the approximately 780' skyscraper to feature floor-to-ceiling curved glass windows. The expansive interior layouts, ranging from one to five bedrooms and featuring an array of duplex and double height spaces, were designed and finished by Thomas Juul-Hansen.<br><br>Four floors of the tower are devoted to state-of-the-art amenities: an immense Fitness Center, the beautifully-appointed Water Club, unique childrens amenities, and The Observatory at 50 West Street, a spectacular 64th floor outdoor entertaining space with seemingly infinite views of New York and beyond.<br><br>Occupancy subject to issuance of Temporary Certificate of Occupancy.
  
  <br>"
11,75 Wall Street,"75 Wall Street, New York, NY, 10005",75 Wall Street,New York,NY,10005,11/235534499.jpg|11/235534540.jpg|11/235534584.jpg|11/235534702.jpg|11/235534760.jpg|11/235534811.jpg|11/235534888.jpg|11/235534946.jpg|11/235535010.jpg|11/235535044.jpg|11/235535121.jpg|11/235535205.jpg|11/235535325.jpg|11/235535418.jpg|11/235535471.jpg|11/235535551.jpg,346,42,1987,Condo,Financial District,Bike Room|Concierge|Gym|Laundry in Building|Live-in Super|Media Room|Parking Available|Roof Deck|NYC Storm Zone 1,9/13/2017,28F,1520000,1,2,1011,1178,NULL,NULL,J Kipton Cronkite and David Schwartz,Douglas Elliman,11/28F/249932989.jpg|11/28F/249932987.jpg|11/28F/249932996.jpg|11/28F/249933001.jpg|11/28F/249933003.jpg|11/28F/249933023.jpg|11/28F/271007806.jpg|11/28F/249933013.jpg|11/28F/257462450.jpg|11/28F/285369077.jpg|11/28F/284576902.jpg|11/28F/285369042.jpg|11/28F/270722645.jpg|11/28F/271007845.jpg,"This 1,011 square foot 1 bedroom, 2 bathroom and home office residence features southwest-facing landmark city views. Gracious living and dining space with functional open kitchen makes for wonderful living and entertaining.<br><br>Designed by Rockwell Group, residences feature ten-foot ceilings and oversized windows, in-residence washers and dryers, wide-planked cerused oak flooring, CasesarStone Countertops, and Lacquer Kitchen Cabinetry by the Italian Design Studio, Boffi. Appliances by Sub-Zero, Liebherr, Bosch, Miele, Electrolux, and Sharp. Bathrooms feature custom wood cabinetry, Botticino Semi Classico Marble Floors, and Tub Surround. 75 Wall residents have access to integrated hotel services including room service, catering, housekeeping, and valet laundry, as well as a full-time personal concierge.<br><br>75 Wall represents world class luxury and offers a one of a kind living experience in Downtown Manhattan.
  
  <br>"
7,50 West Street,"50 West Street, New York, NY, 10006",50 West Street,New York,NY,10006,7/247132917.jpg|7/247132926.jpg|7/247146973.jpg|7/247146989.jpg|7/79042114.jpg|7/247146993.jpg|7/247132909.jpg|7/163978597.jpg|7/247132913.jpg|7/247132889.jpg|7/163978584.jpg|7/247146977.jpg|7/79041849.jpg|7/79041892.jpg|7/247132893.jpg|7/247132897.jpg|7/247132901.jpg|7/247132905.jpg|7/79041852.jpg|7/247146961.jpg|7/247146953.jpg|7/247146969.jpg|7/247146957.jpg|7/247146965.jpg|7/247146945.jpg|7/247146985.jpg|7/79041875.jpg|7/79041915.jpg|7/79041930.jpg|7/79041942.jpg|7/247146949.jpg|7/247146941.jpg|7/79041902.jpg|7/247146937.jpg,191,64,2016,Condo,Financial District,Bike Room|Children's Playroom|Concierge|Gym|Laundry in Building|Live-in Super|Media Room|Package Room|Swimming Pool|Storage Available|Roof Deck|NYC Storm Zone 1,9/15/2017,49A,4210000,2,3,1734,2258,2518,NULL,50 West Sales Gallery,(212) 766-5050,7/49A/79758587.jpg|7/49A/79758635.jpg|7/49A/79758781.jpg|7/49A/79758812.jpg|7/49A/79758845.jpg|7/49A/79758715.jpg|7/49A/79758747.jpg|7/49A/282402147.jpg|7/49A/282402141.jpg|7/49A/282402135.jpg|7/49A/282402149.jpg|7/49A/282402142.jpg|7/49A/282402136.jpg|7/49A/282402273.jpg|7/49A/282402270.jpg|7/49A/282402267.jpg|7/49A/282402264.jpg|7/49A/282402261.jpg|7/49A/282402257.jpg|7/49A/282402250.jpg|7/49A/282402244.jpg|7/49A/282402238.jpg,"Immediate Occupancy.<br><br>North and East exposures and a wall of windows provide glittering views of the Hudson River and the city from this bright and airy oversized two-bedroom, three-bath corner home. <br><br>This expansive 1,736 square foot/161.3 square meter two bedroom/three bath home offers an open kitchen with custom stained walnut cabinetry, granite countertops with waterfall island, Hansgrohe fixtures, and Miele and SubZero appliances, including 4 burner gas cooktop, exterior vented exhaust hood, oven, speed oven, refrigerator, freezer, wine refrigerator, and dishwasher. The en-suite five fixture master bath features floating, backlit marble vanity, radiant floor heating, Hansgrohe polished chrome fixtures, and electronic Toto toilet with built-in bidet. The second and third baths both include marble wet walls and floors as well as custom vanities.<br><br>50 West, a 64-story residential tower located in the center of the New Downtown, features unparalleled views of the New York Harbor, the Hudson and East Rivers, the Statue of Liberty, and Ellis Island. Internationally-acclaimed architect Helmut Jahn has designed the approximately 780' skyscraper to feature floor-to-ceiling curved glass windows. The expansive interior layouts, ranging from one to five bedrooms and featuring an array of duplex and double height spaces, were designed and finished by Thomas Juul-Hansen.<br><br>Four floors of the tower are devoted to state-of-the-art amenities: an immense Fitness Center, the beautifully-appointed Water Club, unique childrens amenities, and The Observatory at 50 West Street, a spectacular 64th floor outdoor entertaining space with seemingly infinite views of New York and beyond.<br><br>Occupancy subject to issuance of Temporary Certificate of Occupancy.
  
  <br>"
15,Plaza Hotel,"1 Central Park South, New York, NY, 10019",1 Central Park South,New York,NY,10019,15/116820227.jpg|15/1261809.jpg|15/1261811.jpg,164,19,1907,Condo,Central Park South,Concierge|Gym|Laundry in Building|Live-in Super,9/15/2017,1341,1300000,0,1,580,6300,1000,NULL,Brown Harris Stevens,(212) 906-9313,,NULL
15,Plaza Hotel,"1 Central Park South, New York, NY, 10019",1 Central Park South,New York,NY,10019,15/116820227.jpg|15/1261809.jpg|15/1261811.jpg,164,19,1907,Condo,Central Park South,Concierge|Gym|Laundry in Building|Live-in Super,9/18/2017,1938,1195000,1,1,529,6122,1631,NULL,Corcoran,(646) 418-4716,15/1938/286359650.jpg|15/1938/286359629.jpg|15/1938/286359674.jpg|15/1938/286359638.jpg|15/1938/286359627.jpg|15/1938/286360020.jpg|15/1938/286360002.jpg|15/1938/286359976.jpg|15/1938/286359950.jpg|15/1938/286359927.jpg|15/1938/286359898.jpg|15/1938/286359855.jpg|15/1938/286359808.jpg|15/1938/286359742.jpg|15/1938/286359685.jpg|15/1938/286359637.jpg,NULL
13,JW Marriott Essex House,"160 Central Park South, New York, NY, 10019",160 Central Park South,New York,NY,10019,13/37121673.jpg|13/37121677.jpg|13/37121683.jpg|13/37121688.jpg|13/37121692.jpg|13/37121699.jpg|13/37121703.jpg|13/37121709.jpg|13/37121714.jpg,182,42,1930,Condo,Central Park South,Bike Room|Concierge|Gym|Laundry in Building|Valet|Valet Parking,9/15/2017,709,5995000,2,2.5,1382,4767,2096,NULL,Brown Harris Stevens,(212) 588-5670,13/709/278888617.jpg|13/709/278888567.jpg|13/709/278888503.jpg|13/709/278888443.jpg|13/709/278888388.jpg|13/709/278888316.jpg,"Stylish 2BR W/Central Park Views<br>Located in the Iconic Manhattan Landmark, Essex House, this spectacular 2 bedroom, 2.5 bathroom apartment offers breathtaking Central Park views from every room. Designed by prolific Architect Costas Kondylis, the home is an ideal entertaining space boasting abundant light, and elegant French doors in the living room &amp; dining room that frame each Juliet balcony directly overlooking Central Park South. Floor-to-ceiling windows, beautiful moldings and hardwood floors stylishly decorate the home. The open chef's kitchen, fitted with all top-of-the-line appliances, will please the most discriminating cooks. <br><br> Positioned on world-renowned 59th Street, Essex House is a true Art Deco, New York City legend. Living at Essex House is the perfect blend of residential living and hotel living with every amenity at your fingertips from maid's service to room service. The building also offers nice flexibility in ownership and for investment as it is one of the only condominiums that allows short term rentals and a simple application process. Essex House, with 185 privately owned residences now managed by JW Marriott has been called home by captains of the industry as well as entertainment legends, since its opening in 1931. Operated as both a hotel and condominium, owners and renters get access to Five-Star hotel services and amenities include 24-hour concierge, bell staff, private condominium reception, business center, gourmet restaurant, 24-hour room service, housekeeping upon request including linen service, catering and function rooms, valet dry cleaning service, fitness center and spa.
  
  <br>"
2,ORION Condominium,"350 West 42nd Street, New York, NY, 10036",350 West 42nd Street,New York,NY,10036,2/114368229.jpg,551,60,2007,Condo,Hell's Kitchen,Bike Room|Children's Playroom|Cold Storage|Concierge|Gym|Laundry in Building|Media Room|Package Room|Parking Available|Swimming Pool|Community Recreation Facilities|Smoke-free|Deck,9/14/2017,25G,1700000,2,2,1070,1069,1445,NULL,Corcoran,(914) 420-1985,2/25G/274991001.jpg|2/25G/274990951.jpg|2/25G/274990892.jpg|2/25G/274990835.jpg|2/25G/274990778.jpg|2/25G/274990724.jpg|2/25G/274990698.jpg|2/25G/274990648.jpg|2/25G/274990614.jpg|2/25G/274919445.jpg|2/25G/274919409.jpg,"Best priced 2br at The Orion! This 2 bedroom, 2 bathroom Condo measuring appx. 1070 sq.ft is an absolute must see! A corner split layout with South East exposures and floor-to-ceiling windows allow for maximum amount of natural light while endless views of the Empire State Building, Metlife building and views of the Hudson capture the imagination. The master bedroom is outfitted with an extra large closet and en-suite bath with a deep soaking tub and limestone walls. The 2nd bedroom is very spacious and well proportioned complementary to the rest of the apt. Also included are impeccable hardwood flooring and fully equipped windowed kitchen and stainless steel appliances. The Orion is Pet, investment &amp; Pied-a-terre friendly. The full Service Condominium which offers 3 floors of amenities on a high floor also includes Valet, Concierge, maid &amp; dry cleaning services, and onsite parking. The multi-level 8200 SF Fitness Center by 'La Palestra' includes Pool, Sun decks and Saunas. A sprawling lounge area with screening room, business center, entertaining room offers its visitors the unforgettable views of NYC.
  
  <br>"
17,550 Vanderbilt Avenue,"550 Vanderbilt Avenue, Brooklyn, NY, 11238",550 Vanderbilt Avenue,Brooklyn,NY,11238,17/276547877.jpg|17/276547870.jpg|17/276547868.jpg|17/276547867.jpg|17/276547871.jpg,278,17,2017,Condo,Prospect Heights,Bike Room|Children's Playroom|Gym|Parking Available|Community Recreation Facilities|Storage Available|Garden|Roof Deck,9/19/2017,1009,2095000,3,2.5,1427,1757,816,NULL,Corcoran,(718) 679-9000,17/1009/274942477.jpg|17/1009/274942435.jpg|17/1009/274942373.jpg|17/1009/274942324.jpg|17/1009/274942285.jpg|17/1009/274942240.jpg,"Welcome home to 550 Vanderbilt, Prospect Heights' newest luxury condominium and the first to rise in Pacific Park, Brooklyn's newest neighborhood. Residence 1009 is an open plan three bedroom home with a south exposure onto quiet, tree lined Dean Street and a west exposure into Pacific Park. The 10 foot ceilings together with large windows and wide plank white-washed hardwood floors highlight a palate of natural materials. The seamless kitchen features walnut accents and is outfitted with a premium Miele appliance package, including a vented cooktop hood. The bathroom is a superior mix of Grohe fixtures, Carrara marble and a walnut vanity. In addition, a Bosch washer and dryer make life easy.<br><br>Designed inside and out by celebrated architect COOKFOX, residents will enjoy an elevated experience in urban living. Not only does a full amenities suite await you, including a lounge that opens to the outdoors, a library, 8th floor roof terrace, as well as resident storage and access to valet parking, but through your own lobby you will be connected to 8-acres of lush green space! 550 Vanderbilt will have a 421a tax abatement, a gym, an attended lobby and a live-in resident manager. In addition, you are surrounded by 5 historic neighborhoods, cultural landmarks, and a transportation hub ready to take you anywhere. 550 Vanderbilt is a condominium like no other, providing its residents with an extraordinary opportunity to connect with community and nature, all in the very heart of Brooklyn, New York City's most exciting borough.
  
  <br>"
16,The Sheffield,"322 West 57th Street, New York, NY, 10019",322 West 57th Street,New York,NY,10019,16/94814922.jpg|16/94814892.jpg|16/94814914.jpg|16/20686328.jpg|16/20686352.jpg|16/20686364.jpg|16/2932489.jpg|16/2932581.jpg|16/14024909.jpg|16/14025050.jpg|16/14025082.jpg,583,50,1978,Condo,Hell's Kitchen,Bike Room|Children's Playroom|Cold Storage|Concierge|Gym|Laundry in Building|Live-in Super|Parking Available|Swimming Pool|Community Recreation Facilities|Deck|Roof Deck,9/13/2017,54F,1175000,1,1,572,512,820,NULL,Anchor Associates,(646) 572-8929,16/54F/256547093.jpg|16/54F/256547090.jpg|16/54F/256547087.jpg|16/54F/256547084.jpg|16/54F/256547081.jpg|16/54F/256547078.jpg|16/54F/256547075.jpg,NULL
18,Greenwich Club,"88 Greenwich Street, New York, NY, 10006",88 Greenwich Street,New York,NY,10006,18/114369090.jpg,452,37,1929,Condo,Financial District,Bike Room|Cold Storage|Gym|Laundry in Building|Live-in Super|Package Room|Parking Available|Community Recreation Facilities|Storage Available|Roof Deck|NYC Storm Zone 1,9/15/2017,1220,799000,1,1,0,807,715,NULL,Citi Habitats,(716) 912-8624,18/1220/277882476.jpg|18/1220/274500554.jpg|18/1220/274501150.jpg|18/1220/274501108.jpg|18/1220/274501067.jpg|18/1220/277882464.jpg|18/1220/277882444.jpg|18/1220/276764750.jpg|18/1220/274500992.jpg|18/1220/276764744.jpg,"**Open House - By Appointment Only. Please email to confirm**<br><br>Bright south-facing Junior 1BR/Studio with Home Office. <br><br>Bright living room with picturesque southern view of the Hudson river. <br><br>Home Office large enough to accommodate a queen sized bed, with plenty of room to navigate to the closets. Shoji style sliders close the space for privacy.<br><br>Fully-equipped kitchen with marble counter tops, custom cabinetry and floors, Sub Zero stainless steel refrigerator, two drawer Fisher &amp; Paykel dishwasher, and Viking stove and microwave. <br><br>Luxurious bathroom featuring Italian lava stone, overhead rain shower, and Kohler soaking tub. In-wall iPod port wired to kitchen and bathroom ceiling speakers.<br><br>Built as an office tower in 1929 and converted to a 457-unit luxury condo in 2007, 88 Greenwich offers a luxurious full-service amenity package that include 3 lounges, a resort-style outdoor deck, a complimentary fully-stocked gym, valet service, cold storage, and a 24-hour business center. <br><br>Live in a prime address just south of Tribeca, minutes away from Wall Street, Battery Park City, and the South Street Seaport. Wherever you commute to, you'll have access to all subway lines (1, 2, 3, 4, 5, R, W, J, M, Z, A, C) and the PATH train from this very convenient location.
  
  <br>"
